QID,page id,item,wiki db,category
Q3804395,7039031,Italo De Zan,frwiki,Human
Q35633,11463465,Itziar Ituño,frwiki,Human
Q34660,23012,J. K. Rowling,frwiki,Human
Q6110020,7732918,Jabari Parker,frwiki,Human
Q355009,553761,Jackson Browne,frwiki,Human
Q88928087,13427744,Jacob Plange-Rhule,frwiki,Human
Q89284961,13226580,Jacques F. Acar,frwiki,Human
Q3158941,961670,Jacques Frémontier,frwiki,Human
Q3159292,2512399,Jacques Le Brun,frwiki,Human
Q3159696,1859283,Jacques Oudin (homme politique),frwiki,Human
Q3159726,556712,Jacques Pellen,frwiki,Human
Q3159913,1538852,Jacques Rosny,frwiki,Human
Q10304982,8565441,Jair Bolsonaro,frwiki,Human
Q2029605,12571145,Jamel Herring,frwiki,Human
Q13605936,7247741,James Ennis III,frwiki,Human
Q6137546,12996976,James L. Dolan,frwiki,Human
Q24151034,10021107,Jan Neuenschwander,frwiki,Human
Q26211997,11298215,Jannes Horn,frwiki,Human
Q15820808,9744200,Jannik Kohlbacher,frwiki,Human
Q2317740,5344027,Jason Collins,frwiki,Human
Q50824635,12290620,Javier Ortega Smith,frwiki,Human
Q154855,365441,Javier Solana,frwiki,Human
Q88206609,13197441,Jean Leber,frwiki,Human
Q88326495,13200308,Jean-Jacques Razafindranazy,frwiki,Human
Q999960,43686,Jean-Laurent Cochet,frwiki,Human
Q556340,1174518,Jean-Luc Brunin,frwiki,Human
Q3167246,10338,Jean-Luc Reitzer,frwiki,Human
Q30729040,10901341,Jean-Marc Manducher,frwiki,Human
Q65606835,13502714,Jean-Marie Zoellé,frwiki,Human
Q2579804,785816,Jean-Michel Javaux,frwiki,Human
Q91756983,13229921,Jean-Paul Michel (architecte),frwiki,Human
Q16581287,12886054,Jeanine Áñez,frwiki,Human
Q281708,4539249,Jens Keukeleire,frwiki,Human
Q91159963,13274892,Jerry Givens,frwiki,Human
Q90723872,13364098,Jerzy Główczewski,frwiki,Human
Q717045,3122364,Jim Edmonds,frwiki,Human
Q217238,1361058,Jimmie Johnson,frwiki,Human
Q1237349,13287153,Jiří Toman,frwiki,Human
Q740411,1245550,Joachim Yhombi-Opango,frwiki,Human
