QID,page id,item,wiki db,category
Q88364089,9340695,José María Loizaga Viguri,eswiki,Human
Q91262852,9382475,José Marroquín Yerovi,eswiki,Human
Q1008502,1263810,Josep Maria Benet i Jornet,eswiki,Human
Q20004758,9383569,Josep Sala Mañé,eswiki,Human
Q9015433,5136407,Juan Cotino,eswiki,Human
Q89656990,9369973,Juan de Dios Martín Velasco,eswiki,Human
Q1710489,416314,Juan Giménez López,eswiki,Human
Q63738491,8920620,Juan José Yúnez,eswiki,Human
Q5951723,5793458,Juan Orlando Hernández,eswiki,Human
Q21480753,7084816,Juanjo Rocafort,eswiki,Human
Q91861707,9397590,Julian Perry Robinson,eswiki,Human
Q3189161,9356232,Julie Bennett,eswiki,Human
Q97015683,9502290,Julio Jiménez Llanque,eswiki,Human
Q5018805,6066125,Jun'ichi Ishida,eswiki,Human
Q6363189,6926371,Kanika Kapoor,eswiki,Human
Q437950,7358125,Katrina Adams,eswiki,Human
Q13742419,9384468,Kees Bakker (presidente de fútbol),eswiki,Human
Q42770663,9452342,Keisha Lance Bottoms,eswiki,Human
Q6390090,9376370,Ken Farnum,eswiki,Human
Q1320080,9353525,Ken Shimura,eswiki,Human
Q187198,446919,Kenny Dalglish,eswiki,Human
Q16498472,9351058,Kerstin Behrendtz,eswiki,Human
Q29545,1031812,Kevin Durant,eswiki,Human
Q923090,995628,Kevin Saunderson,eswiki,Human
Q91669146,9387808,Khalif Mumin Tohow,eswiki,Human
Q19667683,9356987,Kim H. Veltman,eswiki,Human
Q90405588,9378246,Kishen Bholasing,eswiki,Human
Q3282984,9386071,Koos van den Berg,eswiki,Human
Q2633169,8631144,Kozo Tashima,eswiki,Human
Q6438398,6202927,Kristofer Hivju,eswiki,Human
Q11473366,9390577,Kumiko Okae,eswiki,Human
Q271765,4750795,Laura Bell Bundy,eswiki,Human
Q87511491,9333825,Lee Cha-su,eswiki,Human
Q89564475,9361165,Lee Fierro,eswiki,Human
Q453393,2664631,Lee Konitz,eswiki,Human
Q16215977,9372834,Lee Nurse,eswiki,Human
Q45843259,9361060,Leïla Menchari,eswiki,Human
Q2622339,9148718,Lev Leshenko,eswiki,Human
Q84497471,9284120,Li Wenliang,eswiki,Human
Q85245727,9333920,Liang Wudong,eswiki,Human
Q90419272,9379870,Lila Fenwick,eswiki,Human
Q89924623,9390513,Liliane Marchais,eswiki,Human
Q85881430,9345897,Liu Fan,eswiki,Human
Q85332141,9341927,Liu Shouxiang,eswiki,Human
Q89044367,9351189,Lorena Borjas,eswiki,Human
Q3836866,9343690,Lorenzo Acquarone,eswiki,Human
Q1067412,385203,Lorenzo Sanz,eswiki,Human
Q267724,385871,Lucía Bosé,eswiki,Human
Q3838576,9340756,Luciano Federici,eswiki,Human
Q3265723,9341934,Lucien Sève,eswiki,Human
Q61481724,9353113,Luigi Roni,eswiki,Human
Q29639760,7899314,Luis Arias Graziani,eswiki,Human
Q314861,259057,Luis Miguel Fernández,eswiki,Human
Q96186936,9464464,Luis Repetto,eswiki,Human
Q334126,171703,Luis Sepúlveda,eswiki,Human
Q19974584,9378295,Lukman Niode,eswiki,Human
Q64569137,8969051,Macarena Olona Choclán,eswiki,Human
Q2024999,7680342,Mads Mensah Larsen,eswiki,Human
Q296724,4546919,Mahmoud Jabril,eswiki,Human
Q17465755,7474917,Malcolm Brogdon,eswiki,Human
Q129816,4661864,Manolo Gabbiadini,eswiki,Human
Q53911695,8462330,Manu Ayerdi,eswiki,Human
Q445829,826506,Manu Dibango,eswiki,Human
Q89034303,9350432,Manuel Adolfo Varas,eswiki,Human
Q1426480,265456,Manuel Felguérez,eswiki,Human
Q2386112,9358749,Marcel Moreau,eswiki,Human
Q3289573,9397660,Marcelle Ranson-Hervé,eswiki,Human
Q6756606,9327574,Marcelo Peralta,eswiki,Human
Q6757719,6412961,Marco Sportiello,eswiki,Human
Q6758454,6297204,Marcus Smart,eswiki,Human
Q90961853,9379465,Margit Feldman,eswiki,Human
Q3290692,9345811,Marguerite Aucouturier,eswiki,Human
Q89795205,9372796,Marguerite Lescop,eswiki,Human
Q19301055,9349000,María Araujo,eswiki,Human
Q10326164,9378770,Maria de Sousa,eswiki,Human
Q96115822,9460843,María Eidy Roca,eswiki,Human
Q44623462,9353635,María Eugenia Carballedo Berlanga,eswiki,Human
Q88996313,9349957,María Libier González Anaya,eswiki,Human
Q88978483,9351122,Maria Mercader,eswiki,Human
Q66316835,9045482,María Rosete Sánchez,eswiki,Human
Q55998474,8112622,María Teresa de Borbón-Parma,eswiki,Human
Q66084989,9035302,Mariana Arceo,eswiki,Human
Q48280,68700,Marianne Faithfull,eswiki,Human
Q16595738,9397550,Marianne Lundquist,eswiki,Human
Q3848217,9341920,Marino Quaresimin,eswiki,Human
Q767270,8819273,Mario Díaz-Balart,eswiki,Human
Q1868688,9345939,Mark Blum,eswiki,Human
Q6769832,9361044,Mark Steiner,eswiki,Human
Q207399,3767916,Marko Pantelić,eswiki,Human
Q97105191,9506043,Marlene Catzín Cih,eswiki,Human
Q15731012,8507040,Marlon Moraes,eswiki,Human
Q275169,2552432,Marouane Fellaini,eswiki,Human
Q6002812,1310558,Martín Ortega,eswiki,Human
Q10326942,9393768,Martinho Lutero Galati,eswiki,Human
Q29230,104515,Martti Ahtisaari,eswiki,Human
Q478161,9026189,Matt Hancock,eswiki,Human
Q6791209,9379436,Matthew Seligman,eswiki,Human
Q3300367,9375429,Maurice Barrier,eswiki,Human
Q4084007,9343290,Maurice Berger,eswiki,Human
Q1270426,4832290,Maximiliano Richeze,eswiki,Human
Q88611356,9354249,Menggie Cobarrubias,eswiki,Human
Q83264280,9264800,Mercado Mayorista de Mariscos del Sur de China de Wuhan,eswiki,Others
Q1660441,5470460,Metro de Wuhan,eswiki,Others
Q23820256,7680410,MHD (rapero),eswiki,Human
Q352696,1785887,Michael Beasley,eswiki,Human
Q6830619,9381466,Michael Gilkes,eswiki,Human
Q6832740,9351130,Michael McKinnell,eswiki,Human
Q6834517,9345797,Michael Sorkin,eswiki,Human
Q438465,82922,Michel Barnier,eswiki,Human
Q2917346,9107013,Michel Boujenah,eswiki,Human
Q782651,9361593,Michel Parisse,eswiki,Human
